case_name,release_date,author_judge,status,appeal_number
Hewins v. Merit Systems Protection Board,2016-06-14,Per Curiam,ingested,2015-3171
Jordan v. McDonald,2016-06-13,Per Curiam,ingested,2015-7067
"LG Electronics, Inc. v. Toshiba Samsung Storage Technology Korea Corp.",2016-06-13,Per Curiam,ingested,2015-1823
"LG Electronics, Inc. v. Toshiba Samsung Storage Technology Korea Corp.",2016-06-13,Per Curiam,ingested,2015-1822
"Moddha Interactive, Inc. v. Philips Electronics North America Corp.",2016-06-13,Per Curiam,ingested,2015-2048
Tolbert v. Department of Justice,2016-06-13,Per Curiam,ingested,2015-3162
Estate of Rubinstein v. United States,2016-06-10,Per Curiam,ingested,2015-5068
"Kickstarter, Inc. v. Fan Funded, LLC",2016-06-10,Per Curiam,ingested,2015-1886
Nacchio v. United States,2016-06-10,,ingested,"2015-5114, 2015-5115"
"Sas Institute, Inc. v. Complementsoft, LLC.",2016-06-10,NEWMAN,ingested,"2015-1346, 2015-1347"
ASP Denver LLC. v. General Services Administration,2016-06-09,Per Curiam,ingested,2015-1313
Acevedo v. United States,2016-06-09,Taranto,ingested,2015-5126
Altera Corp. v. Papst Licensing Gmbh & Co. KG,2016-06-09,Lourie,ingested,2015-1914; 2015-1919
Greiner v. United States,2016-06-09,Per Curiam,ingested,2015-5144
Kellogg v. McDonald,2016-06-09,Per Curiam,ingested,2015-7111
"Medtronic, Inc. v. Lifeport Sciences LLC",2016-06-09,Per Curiam,ingested,2015-1862
"Perfect Surgical Techniques, Inc. v. Olympus America, Inc.",2016-06-09,Per Curiam,ingested,2015-2045
Rainey v. Merit Systems Protection Board,2016-06-07,Bryson,ingested,2015-3234
"Indacon, Inc. v. Facebook, Inc.",2016-06-06,Chen,ingested,2015-1129
"Warsaw Orthopedic, Inc. v. Nuvasive, Inc.",2016-06-03,REYNA,ingested,"2013-1576, 2013-1577"
Q Integrated Companies v. United States,2016-06-02,,ingested,2016-1991
"Superior Industries, Inc. v. Masaba, Inc.",2016-06-02,Hughes,ingested,2015-1594
"Ruckus Wireless, Inc. v. Innovative Wireless Solutions, LLC",2016-05-31,,ingested,"2015-1425, 2015-1438"
David Netzer Consulting Engineer LLC v. Shell Oil Co.,2016-05-27,Lourie,ingested,2015-2086
In Re: Arunachalam,2016-05-27,HUGHES,ingested,2016-1560
Deere & Co. v. Duroc LLC,2016-05-26,Per Curiam,ingested,2014-1403
Profectus Technology LLC v. Huawei Technologies Co.,2016-05-26,Per Curiam,ingested,"2015-1016, 2015-1018, 2015-1019"
"Profectus Technology LLC v. Huawei Technologies Co., Ltd.",2016-05-26,Moore,ingested,"2015-1016, 2015-1018, 2015-1019"
"In Re: Aqua Products, Inc.",2016-05-25,Reyna,ingested,2015-1177
"Northrop Grumman Computing Systems, Inc. v. United States",2016-05-24,Reyna,ingested,2015-5074
Milik v. Secretary of Health & Human Services,2016-05-20,,ingested,2015-5109
"Clouding Corp. v. Unified Patents, Inc.",2016-05-19,Per Curiam,ingested,No. 2015-1799
"Commonwealth Laboratories, Inc. v. Quintron Instrument Co.",2016-05-19,Per Curiam,ingested,No. 2015-2010
Hudgens v. McDonald,2016-05-18,,ingested,2015-7030
"Kellogg Brown & Root Services, Inc. v. Murphy",2016-05-18,Newman,ingested,2015-1148
"Alley v. Innovation Law Group, Ltd.",2016-05-17,Per Curiam,ingested,No. 2015-1976
"Diamond Coating Technologies, LLC v. Hyundai Motor America",2016-05-17,Wallach,ingested,"2015-1844, 2015-1861"
Nuttall ex rel. N.N. v. Secretary of Health & Human Services,2016-05-17,Per Curiam,ingested,No. 2015-5153
"Software Rights Archive, LLC v. Facebook, Inc.",2016-05-17,Per Curiam,ingested,No. 2015-1648
"Tli Communications LLC v. Av Automotive, L.L.C.",2016-05-17,Hughes,ingested,"2015-1372, 2015-1376, 2015-1377, 2015-1378, 2015-1379, 2015-1382, 2015-1383, 2015-1384, 2015-1385, 2015-1417, 2015-1419, 2015-1421"
Intendis Gmbh v. Glenmark Pharmaceuticals Inc.,2016-05-16,Moore,ingested,2015-1902
"In Re: Cordua Restaurants, Inc.",2016-05-13,Dyk,ingested,2015-1432
"Merck & Cie v. Watson Laboratories, Inc.",2016-05-13,Mayer,ingested,"2015-2063, 2015-2064"
"Enfish, LLC v. Microsoft Corporation",2016-05-12,Hughes,ingested,2015-1244
"Howmedica Osteonics Corp. v. Zimmer, Inc.",2016-05-12,Plager,ingested,"2015-1232, 2015-1234, 2015-1239"
Lal v. Merit Systems Protection Board,2016-05-11,Hughes,ingested,2015-3140
Cahill v. Merit Systems Protection Board,2016-05-10,Taranto,ingested,2015-3152
"Motion Games, LLC v. Nintendo of America Inc.",2016-05-10,Per Curiam,ingested,No. 2015-1867
Motorola Mobility LLC v. Microsoft Corp.,2016-05-10,Per Curiam,ingested,No. 2015-2061
"Norred v. Medtronic, Inc.",2016-05-10,Per Curiam,ingested,"Nos. 2015-1731, 2015-1874, 2016-1031"
"Affinity Labs of Texas, LLC v. Samsung Electronics Co.",2016-05-09,Per Curiam,ingested,No. 2015-1933
"Becton, Dickinson & Co. v. Baxter International Inc.",2016-05-09,Per Curiam,ingested,No. 2015-1918
"Intelligent Bio-Systems, Inc. v. Illumina Cambridge Ltd.",2016-05-09,,ingested,2015-1693
"Surfcast, Inc. v. Microsoft Corp.",2016-05-09,Per Curiam,ingested,No. 2015-1568
Vanartsdalen v. Department of Justice,2016-05-09,Per Curiam,ingested,No. 2015-8002
Vehicle Interface Technologies LLC v. Jaguar Land Rover North America LLC,2016-05-09,Per Curiam,ingested,"Nos. 2015-1834, 2015-1835"
Bidnick v. Department of Justice,2016-05-06,Per Curiam,ingested,No. 2015-3169
"Dg21, LLC v. Mabus",2016-05-06,Lourie,ingested,2015-1830
Endotach LLC v. Cook Medical LLC,2016-05-06,Per Curiam,ingested,2015-1357
"Endotach LLC v. Medtronic, Inc.",2016-05-06,Per Curiam,ingested,No. 2015-1784
Hoa Nguyen v. Merit Systems Protection Board,2016-05-06,Hughes,ingested,2015-3144
In re Basir,2016-05-06,Wallaeh,ingested,2016-1724
Cobb v. Merit Systems Protection Board,2016-05-05,Per Curiam,ingested,No. 2015-3195
"Icon Health & Fitness, Inc. v. Johnson Health Tech Co.",2016-05-05,Per Curiam,ingested,No. 2015-2027
"Triple Tee Golf, Inc. v. Taylor Made Golf Co.",2016-05-05,Per Curiam,ingested,No. 2015-1564
Emblaze Ltd. v. Apple Inc.,2016-05-04,Per Curiam,ingested,"Nos. 2014-1734, 2015-1400, 2015-1557"
Newsome v. Department of Treasury,2016-05-04,Per Curiam,ingested,No. 2015-3167
"Oil States Energy Services, LLC v. Greene's Energy Group, LLC",2016-05-04,Per Curiam,ingested,No. 2015-1855
"Reloaded Games, Inc. v. Parallel Networks, LLC",2016-05-04,Per Curiam,ingested,No. 2015-1915
Albemarle Corp. & Subsidiaries v. United States,2016-05-02,Dyk,ingested,"2015-1288, 2015-1289, 2015-1290"
In Re: Tc Heartland LLC,2016-04-29,Moore,ingested,2016-105
Two Shields v. United States,2016-04-27,Taranto,ingested,2015-5069
Merck & Cie v. Gnosis S.P.A.,2016-04-26,NEWMAN,ingested,2014-1779
South Alabama Medical Science Foundation v. Gnosis S.P.A.,2016-04-26,NEWMAN,ingested,"2014-1778, 2014-1780, 2014-1781"
Mankes v. Vivid Seats Ltd.,2016-04-22,Taranto,ingested,"2015-1500, 2015-1501, 2015-1909"
Sneed v. McDonald,2016-04-22,WALLACH,ingested,2015-7069
"Target Training International, Ltd. v. Extended DISC International, Ltd.",2016-04-22,MALLEY,ingested,No. 2015-1856
In re Noblitt,2016-04-21,Per Curiam,ingested,No. 2015-1876
Jiaxing Brother Fastener Co. v. United States,2016-04-21,Reyna,ingested,2015-1161
"Kroy IP Holdings, LLC v. Safeway, Inc.",2016-04-21,Per Curiam,ingested,No. 2015-1782
Sovis v. McDonald,2016-04-21,Per Curiam,ingested,No. 2015-7078
In Re Man MacHine Interface Technologies LLC,2016-04-19,STOLL,ingested,2015-1562
"Sport Dimension, Inc. v. the Coleman Company, Inc.",2016-04-19,STOLL,ingested,2015-1553
"Cooper v. Square, Inc.",2016-04-14,Per Curiam,ingested,"Nos. 2015-1925, 2015-1942, 2015-1943"
"Rembrandt Vision Techs., L.P. v. Johnson & Johnson Vision Care",2016-04-14,,ingested,15-1079
Bayer Intellectual Property GmbH v. Warner Chilcott Co.,2016-04-12,Per Curiam,ingested,No. 2015-1716
Catfish Farmers of America v. United States,2016-04-12,Per Curiam,ingested,No. 2015-1344
"Clean Air Engineering Maritime, Inc. v. Advanced Cleanup Technologies, Inc.",2016-04-12,Per Curiam,ingested,No. 2015-1546
D'Angiolini v. Secretary of Health & Human Services,2016-04-12,Per Curiam,ingested,No. 2015-5141
"East Coast Sheet Metal Fabricating Corp. v. Autodesk, Inc.",2016-04-12,Per Curiam,ingested,No. 2015-1717
"In re Portage Electric Products, Inc.",2016-04-12,Per Curiam,ingested,No. 2015-1860
Krugman v. Department of Veterans Affairs,2016-04-12,Per Curiam,ingested,No. 2015-3156
Mitchell v. McDonald,2016-04-12,Per Curiam,ingested,No. 2015-7084
Ramsey v. Merit Systems Protection Board,2016-04-12,Per Curiam,ingested,No. 2015-3192
"Romag Fasteners, Inc. v. Fossil, Inc.",2016-04-12,,ingested,14-1856
"Carriage House West II Associates, LP v. United States",2016-04-11,Per Curiam,ingested,"Nos. 2013-5132, 2013-5133, 2013-5135, 2013-5137, 2013-5138, 2013-5140, 2013-5141, 2013-5143"
"Neev v. Alcon Lensx, Inc.",2016-04-11,Per Curiam,ingested,"Nos. 2015-1422, 2015-1821"
"Transatlantic Lines, LLC v. United States",2016-04-11,Per Curiam,ingested,No. 2015-5130
"Digital Reg of Texas, LLC v. Adobe Systems Inc.",2016-04-08,Per Curiam,ingested,"Nos. 2015-1266, 2015-1708, 2015-1709, 2015-1753"
Foley-Hinnen v. Government Accountability Office,2016-04-08,Per Curiam,ingested,No. 2015-6002
Genetic Technologies Limited v. Merial L.L.C.,2016-04-08,Dyk,ingested,"2015-1202, 2015-1203"
In re Rivera,2016-04-08,Per Curiam,ingested,No. 2015-1683
Miller v. Fdic,2016-04-08,CHEN,ingested,14-3146
Miller v. Federal Deposit Insurance,2016-04-08,CHEN,ingested,2014-3137
OSRAM GmbH v. Schubert,2016-04-08,Per Curiam,ingested,No. 2015-1620
"RP1 Fuel Cell, LLC v. United States",2016-04-08,,ingested,No. 2015-5106
Riller v. Federal Deposit Insurance,2016-04-08,NEWMAN,ingested,No. 2014-3146
Wonderland Nurserygoods Co. v. Thorley Industries LLC,2016-04-08,Per Curiam,ingested,No. 2015-1878
"Core Laboratories LP v. Spectrum Tracer Services, L.L.C.",2016-04-07,Per Curiam,ingested,"Nos. 2015-1789, 2015-1790"
Dover v. McDonald,2016-04-07,Reyna,ingested,2014-7124
HSH Nordbank AG v. United States,2016-04-07,Per Curiam,ingested,No. 2015-5125
"Inventor Holdings, LLC v. Bed Bath & Beyond, Inc.",2016-04-07,Per Curiam,ingested,No. 2015-1988
Kaneka Corp. v. JBS Hair Inc.,2016-04-07,Per Curiam,ingested,No. 2014-1172
"Rembrandt Vision Technologies, L.P. v. Johnson & Johnson Vision Care, Inc.",2016-04-07,DYK,ingested,2015-1079
"Veterans Justice Group, LLC v. Secretary of Veterans Affairs",2016-04-07,Wallach,ingested,"2015-7021, 2015-7025, 2015-7061"
Moriarty v. Secretary of Health & Human Services,2016-04-06,Moore,ingested,2015-5072
Canava v. Department of Homeland Security,2016-04-05,HUGHES,ingested,2015-3083
"Cardpool, Inc. v. Plastic Jungle, Inc.",2016-04-05,Newman,ingested,2014-1562
Deacero S.A. De C v. v. United States,2016-04-05,Reyna,ingested,"2015-1362, 2015-1363, 2015-1367"
"HP Inc. v. MPHJ Technology Investment., LLC",2016-04-05,Lourie,ingested,2015-1427
High Point Sarl v. Sprint Nextel Corporation,2016-04-05,Reyna,ingested,2015-1298
"Pride Mobility Products Corp. v. Permobil, Inc.",2016-04-05,CHEN,ingested,"2015-1585, 2015-1586"
"Ruling Mengv. Ching-Wu ""Paul"" Chu",2016-04-05,,ingested,"Nos. 2014-1746, 2015-1390"
"System Fuels, Inc. v. United States",2016-04-04,Moore,ingested,"2015-5094, 2015-5095"
"Microsoft Corporation v. Geotag, Inc.",2016-04-01,Wallach,ingested,2015-1140
"Simpleair, Inc. v. Sony Ericsson Mobile Communications AB",2016-04-01,Wallach,ingested,"2015-1251, 2015-1253"
Clare v. Chrysler Group LLC,2016-03-31,Moore,ingested,2015-1199
"Clearcorrect Operating, LLC v. International Trade Commission",2016-03-31,NEWMAN,ingested,2014-1527
"Romag Fasteners, Inc. v. Fossil, Inc.",2016-03-31,Dyk,ingested,"2014-1856, 2014-1857"
"Sufi Network Services, Inc. v. United States",2016-03-29,TARANTO,ingested,2015-5151
"EveryMD LLC v. Facebook, Inc.",2016-03-28,Per Curiam,ingested,No. 2015-1924
Grandeye Ltd. v. Google Inc.,2016-03-28,Per Curiam,ingested,"Nos. 2015-1622, 2015-1624, 2015-1625"
"Lexmark International, Inc. v. Impression Products, Inc.",2016-03-28,,ingested,14-1617
"Chicago Board Options Exchange, Inc. v. International Securities Exchange, LLC",2016-03-25,Per Curiam,ingested,"Nos. 2015-1728, 2015-1729, 2015-1730"
"International Securities Exchange, LLC v. Chicago Board Options Exchange, Inc.",2016-03-25,MALLEY,ingested,"Nos. 2015-1743, 2015-1744"
Biery v. United States,2016-03-23,Stoll,ingested,2014-5084
"MAG Aerospace Industries, Inc. v. B/E Aerospace, Inc.",2016-03-23,Moore,ingested,"2015-1370, 2015-1426"
"Shaw Industries Group, Inc. v. Automated Creel Systems, Inc.",2016-03-23,REYNA,ingested,"2015-1116, 2015-1119"
Hicks v. Merit Systems Protection Board,2016-03-22,WALLACH,ingested,2016-1091
Dawson v. United States,2016-03-21,Per Curiam,ingested,No. 2014-5115
"In Re: Cree, Inc.",2016-03-21,BRYSON,ingested,2015-1365
Acorda Therapeutics Inc. v. Mylan Pharmaceuticals Inc.,2016-03-18,MALLEY,ingested,"2015-1456, 2015-1460"
"Kramer v. Creative Compounds, LLC",2016-03-18,Per Curiam,ingested,No. 2015-1621
Whitaker v. Merit Systems Protection Board,2016-03-18,Per Curiam,ingested,No. 2015-3085
"Bridgeport Fittings, Inc. v. Arlington Industries, Inc.",2016-03-17,Per Curiam,ingested,"Nos. 2015-1616, 2015-1617"
Halo Creative & Design v. Comptoir Des Indes Inc.,2016-03-17,,ingested,15-1375
Johnson v. Department of the Navy,2016-03-17,Per Curiam,ingested,No. 2015-3174
Custer v. McDonald,2016-03-16,Per Curiam,ingested,No. 2015-7093
"Fellowes, Inc. v. ACCO Brands Corp.",2016-03-16,Per Curiam,ingested,No. 2015-1661
In re Pactiv LLC,2016-03-16,Per Curiam,ingested,"Nos. 2015-1457, 2015-1458"
"MacDermid Printing Solutions, LLC v. E.I. Dupont De Nemours & Co.",2016-03-16,Per Curiam,ingested,No. 2015-1750
"Meyer Group, Ltd. v. United States",2016-03-16,Per Curiam,ingested,No. 2015-5117
"Baker Hughes, Inc. v. Nalco Co.",2016-03-15,Per Curiam,ingested,No. 2015-1895
"Dell Inc. v. Acceleron, LLC.",2016-03-15,HUGHES,ingested,"2015-1513, 2015-1514"
"Riparius Ventures LLC v. Cisco Systems, Inc.",2016-03-15,Per Curiam,ingested,No. 2015-1757
"Riparius Ventures LLC v. Cisco Systems, Inc.",2016-03-15,Per Curiam,ingested,No. 2015-1675
Computer Software Protection LLC v. Adobe Systems Inc.,2016-03-14,Per Curiam,ingested,No. 2015-1608
Evans v. McDonald,2016-03-14,Per Curiam,ingested,No. 2015-7055
Halo Creative & Design Ltd. v. Comptoir Des Indes Inc.,2016-03-14,Dyk,ingested,2015-1375
In re Rau,2016-03-14,Per Curiam,ingested,No. 2015-1849
International Controls & Measurements Corp. v. Honeywell International Inc.,2016-03-14,Per Curiam,ingested,No. 2015-1724
Jericho Systems Corp. v. Axiomatics Inc.,2016-03-14,Per Curiam,ingested,No. 2015-1656
"Pentair Water Pool & Spa, Inc. v. Hayward Industries, Inc.",2016-03-14,Per Curiam,ingested,No. 2015-1809
Sharpe v. Environmental Protection Agency,2016-03-14,Per Curiam,ingested,No. 2015-3143
"Essociate, Inc. v. Clickbooth.com, LLC",2016-03-11,Per Curiam,ingested,"Nos. 2015-1332, 2015-1333"
"Moderustic, Inc. v. American Fireglass, Inc.",2016-03-11,Per Curiam,ingested,No. 2015-1772
Professional Coin Grading Service v. Blake,2016-03-11,Per Curiam,ingested,No. 2015-1296
In Re: Smith,2016-03-10,STOLL,ingested,2015-1664
In Re: Varma,2016-03-10,Taranto,ingested,15-1502
In re Intellectual Ventures I LLC,2016-03-10,HUGHES,ingested,No. 2016-113
Investpic LLC v. International Business Machines Corp.,2016-03-10,TARANTO,ingested,"Nos. 2015-1502, 2015-1667"
Klees-Wallace v. Federal Communications Commission,2016-03-10,WALLACH,ingested,2015-3067
"Romanoff Equities, Inc. v. United States",2016-03-10,Bryson,ingested,2015-5034
Bamberg v. Dalvey,2016-03-09,STOLL,ingested,2015-1548
Dixon v. McDonald,2016-03-09,Chen,ingested,2015-7051
Dixon v. McDonald,2016-03-09,Chen,ingested,15-7051
In re Neill,2016-03-09,Per Curiam,ingested,No. 2015-1431
Sullivan v. McDonald,2016-03-08,Stoll,ingested,2015-7076
Thompson v. McDonald,2016-03-08,Plager,ingested,2015-7017
In Re: Queen's University at Kingston,2016-03-07,REYNA,ingested,2015-145
Service Women's Action Network v. Secretary of Veterans Affairs,2016-03-03,WALLACH,ingested,2014-7115
"Jblu, Inc. v. United States",2016-03-02,Moore,ingested,2015-1509
"Blue Calypso, LLC. v. Groupon, Inc.",2016-03-01,SCHALL,ingested,"2015-1391, 2015-1393, 2015-1394, 2015-1396, 2015-1397, 2015-1398, 2015-1399, 2015-1401"
Bozeman v. McDonald,2016-03-01,Hughes,ingested,2015-7020
Dickens v. McDonald,2016-03-01,Hughes,ingested,2015-7022
"Harmonic, Inc. v. Avid Technology, Inc.",2016-03-01,Stoll,ingested,2015-1072
"Ultimatepointer, L.L.C. v. Nintendo Co Ltd",2016-03-01,Lourie,ingested,2015-1297
"Ultimatepointer, L.L.C. v. Nintendo Co.",2016-03-01,Per Curiam,ingested,"Nos. 2015-1532, 2015-1535, 2015-1584"
"Eon Corp. Ip Holdings LLC v. Silver Spring Networks, Inc.",2016-02-29,BRYSON,ingested,2015-1237
"Luminara Worldwide, LLC v. Liown Electronics Co. Ltd.",2016-02-29,Moore,ingested,2015-1671
Parkinson v. Department of Justice,2016-02-29,TARANTO,ingested,2015-3066
"Apple Inc. v. Samsung Electronics Co., Ltd.",2016-02-26,Dyk,ingested,"2015-1171, 2015-1195, 2015-1994"
In re Telebrands Corp.,2016-02-24,LINN,ingested,2016-106
"Acco Brands Corporation v. Fellowes, Inc.",2016-02-22,HUGHES,ingested,2015-1045
"Nuance Communications, Inc. v. ABBYY USA Software House, Inc.",2016-02-22,Chen,ingested,"2014-1629, 2014-1630"
"PPC Broadband, Inc. v. Corning Optical Communications RF, LLC",2016-02-22,WALLACH,ingested,2015-1364
"PPC Broadband, Inc. v. Corning Optical Communications RF, LLC",2016-02-22,WALLACH,ingested,"2015-1361, 2015-1369, 2015-1366, 2015-1368"
"The Ohio Willow Wood Company v. Alps South, LLC",2016-02-19,WALLACH,ingested,"2015-1132, 2015-1133"
Zoltek Corp. v. United States,2016-02-19,Newman,ingested,2014-5082
Lismont v. Alexander Binzel Corporation,2016-02-16,CHEN,ingested,2014-1846
McMillan v. Department of Justice,2016-02-16,Hughes,ingested,2015-3042
Hayden v. Department of the Air Force,2016-02-12,STOLL,ingested,2015-3073
"Lexmark International, Inc. v. Impression Products, Inc.",2016-02-12,DYK,ingested,"2014-1617, 2014-1619"
"Lexmark International, Inc. v. Impression Products, Inc.",2016-02-12,Moore,ingested,14-1617
In Re: Tam,2016-02-11,,ingested,14-1203
"Nike, Inc. v. Adidas Ag",2016-02-11,Chen,ingested,2014-1719
"Nike, Inc. v. Adidas Ag",2016-02-11,Chen,ingested,14-1719
Phison Electronics Corp. v. Silicon Motion Technology Corp.,2016-02-11,Per Curiam,ingested,No. 2015-1632
"Aviva Sports, Inc. v. Fingerhut Direct Marketing, Inc.",2016-02-10,Per Curiam,ingested,No. 2015-1619
"Aviva Sports, Inc. v. Fingerhut Direct Marketing, Inc.",2016-02-10,Per Curiam,ingested,No. 2014-1394
"Convolve, Inc. v. Compaq Computer Corp.",2016-02-10,Hughes,ingested,2014-1732
"In re Gevo, Inc.",2016-02-10,Per Curiam,ingested,No. 2015-1317
"Synopsys, Inc. v. Lee",2016-02-10,NEWMAN,ingested,2015-1183
"Synopsys, Inc. v. Mentor Graphics Corporation",2016-02-10,NEWMAN,ingested,"2014-1516, 2014-1530"
"TransWeb, LLC v. 3M Innovative Properties Co.",2016-02-10,Hughes,ingested,2014-1646
Clear with Computers LLC v. Altec Industries Inc.,2016-02-09,Per Curiam,ingested,"Nos. 2015-1525, 2015-1526, 2015-1527, 2015-1528"
"Macrosolve, Inc. v. Government Employees Insurance",2016-02-09,Per Curiam,ingested,No. 2015-1642
Netac Technology Co. v. Sandisk Corp.,2016-02-09,Per Curiam,ingested,No. 2015-1630
Princeton Digital Image Corp. v. Hewlett-Packard Co.,2016-02-09,Per Curiam,ingested,No. 2015-1552
Rosebud Lms Inc. v. Adobe Systems Incorporated,2016-02-09,STOLL,ingested,2015-1428
Smartmetric Inc. v. Mastercard International Inc.,2016-02-09,Per Curiam,ingested,No. 2015-1598
Berry v. Ford Motor Co.,2016-02-08,Per Curiam,ingested,No. 2015-1699
"Board of Trustees of the Leland Stanford Junior University v. Ariosa Diagnostics, Inc.",2016-02-08,Per Curiam,ingested,No. 2015-1413
Chizmar v. ACCO Brands Corp.,2016-02-08,Per Curiam,ingested,No. 2015-1715
"Greenland v. Harbor Freight Tools USA, Inc.",2016-02-08,Per Curiam,ingested,No. 2015-1761
In re Filler,2016-02-08,Per Curiam,ingested,No. 2015-1687
"Interface, Inc. v. Tandus Centiva Inc.",2016-02-08,Per Curiam,ingested,"Nos. 2015-1475, 2015-1668"
International Business Machines Corp. v. Intellectual Ventures II LLC,2016-02-08,Per Curiam,ingested,No. 2015-1837
Lely Patent N.V. v. Delaval International AB,2016-02-08,Per Curiam,ingested,No. 2015-1669
Minter v. McDonald,2016-02-08,Per Curiam,ingested,No. 2015-7057
"Opti Inc. v. Via Technologies, Inc.",2016-02-08,Per Curiam,ingested,"Nos. 2013-1670, 2014-1839"
"Pentair Water Pool & Spa, Inc. v. Hayward Industries, Inc.",2016-02-08,Per Curiam,ingested,No. 2015-1722
"Pentair Water Pool & Spa, Inc. v. Hayward Industries, Inc.",2016-02-08,Per Curiam,ingested,No. 2015-1488
"Since Hardware (Guangzhou) Co. v. Home Products International, Inc.",2016-02-08,Per Curiam,ingested,"Nos. 2015-1402, 2015-1435"
"Wireless Media Innovations, LLC v. Maher Terminals, LLC",2016-02-08,Per Curiam,ingested,"Nos. 2015-1634, 2015-1635"
"Barron v. SCVNGR, Inc.",2016-02-05,Per Curiam,ingested,No. 2015-1596
Dixon v. Department of Homeland Security,2016-02-05,Per Curiam,ingested,No. 2015-3157
"Trireme Medical, LLC v. Angioscore, Inc.",2016-02-05,Dyk,ingested,2015-1504
"Trivascular, Inc. v. Samuels",2016-02-05,WALLACH,ingested,2015-1631
"W.E. Partners II, LLC v. United States",2016-02-05,Per Curiam,ingested,No. 2015-5054
"Clearcorrect Operating, LLC v. Itc",2016-02-04,,ingested,14-1527
"Specialized Bicycle Components, Inc. v. K.G. Motors, Inc.",2016-02-04,Per Curiam,ingested,No. 2015-1412
"Yao-Hung Huang v. Marklyn Group, Inc.",2016-02-04,Per Curiam,ingested,No. 2015-1587
Ford Motor Company v. United States,2016-02-03,NEWMAN,ingested,2014-1726
"KarKarl Storz Endoscopy-America, Inc. v. Integrated Medical Systems International, Inc.",2016-02-03,Per Curiam,ingested,No. 2015-1776
"Rudolph Technologies, Inc. v. Camtek Ltd.",2016-02-03,Per Curiam,ingested,No. 2015-1434
Trustees of Columbia Univ. v. Symantec Corporation,2016-02-02,Dyk,ingested,2015-1146
"Purdue Pharma L.P. v. Epic Pharma, LLC",2016-02-01,Reyna,ingested,"2014-1294, 2014-1307, 2014-1313, 2014-1296, 2014-1311, 2014-1314, 2014-1306, 2014-1312"
"Agilent Technologies, Inc. v. Waters Technologies Corp.",2016-01-29,TARANTO,ingested,2015-1280
"Akzo Nobel Coatings, Inc. v. Dow Chemical Company",2016-01-29,Lourie,ingested,"2015-1331, 2015-1389"
"Avid Technology, Inc. v. Harmonic, Inc.",2016-01-29,STOLL,ingested,2015-1246
"Mortgage Grader, Inc. v. First Choice Loan Services",2016-01-28,,ingested,15-1415
"Lumen View Technology LLC v. Findthebest.com, Inc.",2016-01-22,WALLACH,ingested,"2015-1325, 2015-1275"
"Pfizer, Inc. v. Lee",2016-01-22,NEWMAN,ingested,2015-1265
"Lifescan Scotland, Ltd. v. Pharmatech Solutions, Inc.",2016-01-20,Per Curiam,ingested,No. 2015-1149
"Mortgage Grader, Inc. v. First Choice Loan Services Inc.",2016-01-20,Taranto,ingested,2015-1415
"Redline Detection, LLC v. Star Envirotech, Inc.",2016-01-20,,ingested,15-1047
"Douglas Dynamics, LLC v. Buyers Products Co.",2016-01-19,Per Curiam,ingested,"Nos. 2015-1263, 2015-1269"
"Intelligent Verification Systems, LLC v. Majesco Entertainment Co.",2016-01-19,Per Curiam,ingested,No. 2015-1603
Nan Ya Plastics Corporation v. United States,2016-01-19,Wallach,ingested,2015-1054
In re Clouding Corp.,2016-01-15,Per Curiam,ingested,No. 2015-1615
Muller v. Government Printing Office,2016-01-15,,ingested,2015-3032
Radio Systems Corp. v. Lalor,2016-01-15,Per Curiam,ingested,No. 2015-1311
Thomas v. Pippin,2016-01-15,Per Curiam,ingested,"Nos. 2015-1575, 2015-1579, 2015-1577, 2015-1578"
Hymas v. United States,2016-01-14,STOLL,ingested,2014-5150
McCarthy v. Merit Systems Protection Board,2016-01-14,Wallach,ingested,2015-3072
"Aero-Stream, LLC v. Septicairaid, LLC",2016-01-13,Per Curiam,ingested,"Nos. 2015-1569, 2015-1542"
"Ethicon Endo-Surgery, Inc. v. Covidien Lp",2016-01-13,,ingested,2014-1771
In re Askoff,2016-01-13,Per Curiam,ingested,No. 2015-1508
"National Organization of Veterans Advocates, Inc. v. Secretary of Veterans Affairs",2016-01-13,STOLL,ingested,2015-7024
Pfizer Inc. v. Mylan Pharmaceuticals Inc.,2016-01-13,Per Curiam,ingested,No. 2015-1131
Dyson v. Department of Defense,2016-01-12,Per Curiam,ingested,No. 2015-3076
"Hanley Industries, Inc. v. Fanning",2016-01-12,Per Curiam,ingested,No. 2015-1258
Ayala v. Department of Homeland Security,2016-01-11,Per Curiam,ingested,No. 2015-3029
Harvey v. Merit Systems Protection Board,2016-01-11,Per Curiam,ingested,No. 2015-3114
Howard v. Department of the Army,2016-01-11,Per Curiam,ingested,No. 2015-3024
"In re Vi-Jon, Inc.",2016-01-11,Per Curiam,ingested,No. 2015-1387
"Justman Freight Lines, Inc. v. United States Postal Service",2016-01-11,Per Curiam,ingested,No. 2015-1373
Medina v. Department of Homeland Security,2016-01-11,Per Curiam,ingested,No. 2015-3063
Montelongo v. Department of Homeland Security,2016-01-11,Per Curiam,ingested,No. 2015-3051
"Pentair Water Pool & Spa, Inc. v. Hayward Industries, Inc.",2016-01-11,Per Curiam,ingested,No. 2015-1409
"Pentair Water Pool & Spa, Inc. v. Hayward Industries, Inc.",2016-01-11,Per Curiam,ingested,No. 2015-1408
